modelo,avg_correlation,avg_mse,avg_diversity,range_similarity,ejercicio,score_promedio,grupo,score,grupo_detallado
activos1_derecha_Ejercicio1,0.8374802601078304,0.8729925476570511,0.23875054472939383,0.08006578417755872,activos1_derecha_Ejercicio1,0.8084205391297699,activos1,0.6068415938797767,activos1_derecha
activos1_derecha_Ejercicio2,0.6965605391523493,0.9296667468802231,0.35683736305364044,0.7699244696484246,activos1_derecha_Ejercicio2,0.8443824532069962,activos1,0.7302067111551203,activos1_derecha
activos1_derecha_Ejercicio3,0.8639361315968694,0.9396686020899974,0.07828170268835016,0.589613787102774,activos1_derecha_Ejercicio3,0.7045305074259012,activos1,0.7139432395097108,activos1_derecha
activos1_derecha_Ejercicio4,0.6000392857133608,0.8658343230845098,0.10152067354162492,0.0,activos1_derecha_Ejercicio4,0.6328752829753103,activos1,0.484992147956273,activos1_derecha
activos1_derecha_Ejercicio5,0.8703661322912817,0.9054219247572951,0.056236397248255965,0.6905093283534978,activos1_derecha_Ejercicio5,0.6911899873774688,activos1,0.722792048987075,activos1_derecha
activos1_izquierda_Ejercicio1,0.9440385094624533,0.9755701791271196,0.09159158352162983,0.8253976474518332,activos1_izquierda_Ejercicio1,0.7405835673155654,activos1,0.8019027990686056,activos1_izquierda
activos1_izquierda_Ejercicio2,0.707455851827258,0.8875103800253245,0.12306509524532544,0.22648451209973874,activos1_izquierda_Ejercicio2,0.6838180963110919,activos1,0.5776193288538842,activos1_izquierda
activos1_izquierda_Ejercicio3,0.8735554753794905,0.9413093401102652,0.017916904967052893,0.8094609161241868,activos1_izquierda_Ejercicio3,0.6653384587509321,activos1,0.7527169373857966,activos1_izquierda
activos1_izquierda_Ejercicio4,0.0,0.0,0.9999999999999999,0.7099841882915854,activos1_izquierda_Ejercicio4,1.0639071493109669,activos1,0.2919968376583171,activos1_izquierda
activos1_izquierda_Ejercicio5,0.9085982471053311,0.9498117746196526,0.14436647137715541,0.22119782525861886,activos1_izquierda_Ejercicio5,0.7658364629336638,activos1,0.6688474546310587,activos1_izquierda
activos2_derecha_Ejercicio1,0.8898320646635702,0.9604156621068272,0.26919690380927264,0.9224763997386027,activos2_derecha_Ejercicio1,0.84725842377125,activos2,0.824440736783409,activos2_derecha
activos2_derecha_Ejercicio2,0.918016091877192,0.9839239474072683,0.10341298641424229,0.9345483864189257,activos2_derecha_Ejercicio2,0.7402113286338068,activos2,0.8189044416251192,activos2_derecha
activos2_derecha_Ejercicio3,0.4261615403219977,0.7707423230644813,0.56802554189563,0.8517799142448537,activos2_derecha_Ejercicio3,0.9025710397282155,activos2,0.6359390501653588,activos2_derecha
activos2_derecha_Ejercicio4,0.8450037613188282,0.9545113933546968,0.10129454192554976,0.6097976269518055,activos2_derecha_Ejercicio4,0.7143825696577387,activos2,0.7192584411471924,activos2_derecha
activos2_derecha_Ejercicio5,0.858533718257622,0.9562761203640922,0.11396641211566583,0.6682821473065914,activos2_derecha_Ejercicio5,0.7277936289587026,activos2,0.7381210287780635,activos2_derecha
activos2_izquierda_Ejercicio1,0.739011444199307,0.7492575507168365,0.9176902558237948,0.5119853102609273,activos2_izquierda_Ejercicio1,1.2524657616365942,activos2,0.7234818711105631,activos2_izquierda
activos2_izquierda_Ejercicio2,0.6814239090986975,0.8831312000431434,0.21711712543505657,0.6102972983635055,activos2_izquierda_Ejercicio2,0.7411997121425116,activos2,0.6580647566854467,activos2_izquierda
activos2_izquierda_Ejercicio3,1.0,1.0,0.0,0.9590087736614796,activos2_izquierda_Ejercicio3,0.6949080120038114,activos2,0.8418017547322958,activos2_izquierda
activos2_izquierda_Ejercicio4,0.7492883127117398,0.9177747762154448,0.2939113966269743,0.453488834660563,activos2_izquierda_Ejercicio4,0.8177629581797438,activos2,0.6723678187399011,activos2_izquierda
activos2_izquierda_Ejercicio5,0.9648141356127256,0.9823770702170953,0.11984070869246988,1.0,activos2_izquierda_Ejercicio5,0.7673513136715038,activos2,0.850374174833453,activos2_izquierda
